symbol,cap_type,sector
MADRASFERT,Small,Agro
MAHEPC,Small,Energy
MAHINDCIE,Small,Auto
MAHINDSCIE,Small,Auto
MAHLOG,Small,Industrials
MAHSEAMLES,Small,Industrials
MANGLMCEM,Small,Cement
MANJUSHREE,Small,Consumer
MANORG,Small,Chemicals
MARATHON,Small,Realty
MASTEK,Small,IT
MAXESTATES,Small,Realty
MAYURUNIQ,Small,Textiles
MBLINFRA,Small,Industrials
MEDANTA,Small,Healthcare
MEDPLUS,Small,Healthcare
MEGH,Small,Energy
MELSTAR,Small,IT
MFSL,Small,Finance
MGCUB,Small,Banking
MICROSCPIC,Small,IT
MINDA,Small,Auto
MINDAIND,Small,Auto
MINDACORP,Small,Auto
MIRCELECTR,Small,Consumer
MIRZAINT,Small,Textiles
MKPL,Small,Consumer
MODIRUBBER,Small,Auto
MOIL,Small,Metals
MONEYBOXX,Small,Finance
MOREPENLAB,Small,Pharma
MOSCHIP,Small,IT
MOTISONS,Small,Consumer
MSTCLTD,Small,IT
MUKANDLTD,Small,Metals
MUNJALSHOW,Small,Auto
MYND,Small,Finance
NCLIND,Small,Cement
NDTV,Small,Media
NESCO,Small,Consumer
NETFN,Small,Finance
NETTLINX,Small,IT
NEULANDLAB,Small,Pharma
NEXTMEDIA,Small,Media
NIACL,Small,Finance
NILAINFRA,Small,Realty
NILKAMAL,Small,Consumer
NIMBUS,Small,Media
NOCIL,Small,Chemicals
NRBBEARING,Small,Auto
NSLNISP,Small,Metals
NUVAMA,Small,Finance
NUVOCO,Small,Cement
OBCL,Small,Pharma
OILCOUNTUB,Small,Industrials
OLECTRA,Small,Auto
OLYMPICCA,Small,Consumer
ONWARDTEC,Small,IT
OPENGATE,Small,Finance
ORIANA,Small,Consumer
ORISSAMINE,Small,Metals
ORO,Small,Consumer
P&G,Small,FMCG
PALASHSECU,Small,Finance
PANACEA,Small,Pharma
PANACHEFIN,Small,Finance
PARACABLES,Small,Industrials
PARADEEP,Small,Agro
PARSVNATH,Small,Realty
PASUPATI,Small,Textiles
PATEL,Small,Industrials
PATELPAC,Small,Consumer
PATNALOG,Small,Industrials
PCJEWELLER,Small,Consumer
PENTOKEY,Small,Consumer
PENINLAND,Small,Realty
PFIZER,Small,Pharma
PGHH,Small,FMCG
PHOENIXLTD,Small,Realty
PIDILITIND,Small,Chemicals
PIONEER,Small,Consumer
PITTIENG,Small,Industrials
PIXELSOFT,Small,IT
PLATINLAB,Small,Healthcare
PMCFIN,Small,Finance
PNBGILTS,Small,Finance
PNBHOUSING,Small,Finance
POLSON,Small,FMCG
POLYLINK,Small,Consumer
PONDY,Small,Agro
POONAWALLA,Small,Finance
POPEES,Small,Consumer
PORTFOLYO,Small,Finance
PRABHAT,Small,FMCG
PRAKASH,Small,Metals
PREMIER,Small,Consumer
PREMIERENRG,Small,Energy
PRESTIGE,Small,Realty
PRICOLLTD,Small,Auto
PRINCEPIPE,Small,Consumer
PRISM,Small,Cement
PROBIR,Small,Finance
PROCESSA,Small,Chemicals
PROCTER,Small,FMCG
PROZONE,Small,Realty
PSPPROJECT,Small,Industrials
PTCIL,Small,Finance
PUNJLLOYD,Small,Industrials
PUNSUPIND,Small,Agro
PURAVANKARA,Small,Realty
QUICKHEAL,Small,IT
RADIOCITY,Small,Media
RAJAPALAYAM,Small,Textiles
RAJESHEXPO,Small,Consumer
RAJRATAN,Small,Auto
RALLIS,Small,Agro
RAMCOIND,Small,Industrials
RANEHOLDIN,Small,Pharma
RATNAMANI,Small,Metals
RAYMOND,Small,Textiles
RBL,Small,Agro
RBLBANK,Small,Banking
RECLTD,Small,Finance
REDINGTON,Small,IT
REMSONSIND,Small,Auto
REPCO,Small,Finance
RFCL,Small,Chemicals
RHIM,Small,Industrials
RICOAUTO,Small,Auto
RIVIATECH,Small,IT
RKDL,Small,Consumer
RNAVAL,Small,Industrials
ROLLT,Small,Consumer
ROSSARI,Small,Chemicals
RPOWER,Small,Energy
RPG,Small,Consumer
RPOWER,Small,Energy
RPSGVENT,Small,Consumer
RSWM,Small,Textiles
RUDRABHISHEK,Small,Industrials
RUPA,Small,Textiles
RVNL,Small,Industrials
SADBHAV,Small,Industrials
SAGARDEEP,Small,Industrials
SAHYADRI,Small,Industrials
SAINIK,Small,Industrials
SALASAR,Small,Industrials
SANGHIIND,Small,Cement
SANGHVIMOV,Small,Industrials
SANTKRUPA,Small,FMCG
SANTUSHTI,Small,Consumer
SAPPHIRE,Small,Textiles
SAREGAMA,Small,Media
SARLAPOLY,Small,Consumer
SARVESHWAR,Small,Agro
SASKEN,Small,IT
SATIA,Small,Consumer
SCAPL,Small,Finance
SEPC,Small,Industrials
SERAJINI,Small,Consumer
SFCL,Small,Finance
SHANKARA,Small,Metals
SHAREINDIA,Small,Finance
SHARDACROP,Small,Agro
SHREECEM,Small,Cement
SHREEPUSHK,Small,Consumer
SHRIRAMCIT,Small,Finance
SHRIRAMEPC,Small,Energy
SIEMENS,Small,Industrials
SIGACHI,Small,Pharma
SINTERCOM,Small,Auto
SIYSIL,Small,Chemicals
SKFINDIA,Small,Auto
SKYGOLD,Small,Consumer
SMCGLOBAL,Small,Finance
SMLISUZU,Small,Auto
SOLEX,Small,Energy
SONACOMS,Small,Auto
SONAMLTD,Small,Auto
SOUTHBANK,Small,Banking
SPANDANA,Small,Finance
SPARC,Small,Pharma
SPCENET,Small,IT
SPECIALITY,Small,Chemicals
SPENCERS,Small,Consumer
SPLPETRO,Small,Energy
SPORTKING,Small,Textiles
SRHHYPOLTD,Small,Finance
SRTRANSFIN,Small,Finance
STAR,Small,Media
STCINDIA,Small,Finance
STERTOOLS,Small,Industrials
STLTECH,Small,IT
STYRENIX,Small,Chemicals
SUBROS,Small,Auto
SUDARSCHEM,Small,Chemicals
SUMEETIND,Small,Consumer
SUNFLAG,Small,Metals
SUNPHARMA,Small,Pharma
SUNTECK,Small,Realty
SUNTV,Small,Media
SUPRIYA,Small,Pharma
SURYAROSNI,Small,Consumer
SUVEN,Small,Pharma
SWSOLAR,Small,Energy
SYMPHONY,Small,Consumer
TALBROS,Small,Auto
TALBROSENGG,Small,Auto
TANLA,Small,IT
TATAINVEST,Small,Finance
TATAMETALI,Small,Metals
TATAPOWER,Small,Energy
TATATECH,Small,IT
TATVA,Small,Chemicals
TCNSBRANDS,Small,Consumer
TECHIN,Small,Industrials
TECHNOCRAFT,Small,Industrials
TECHNOFAB,Small,Industrials
TEJASNET,Small,IT
TEXINFRA,Small,Industrials
THEJO,Small,Industrials
TILAKNAGAR,Small,FMCG
TIMINDIA,Small,Auto
TNPL,Small,Consumer
TORNTPOWER,Small,Energy
TRENT,Small,Consumer
TRIDENT,Small,Textiles
TRITON,Small,Finance
TRIVENI,Small,Agro
UFLEX,Small,Consumer
UGAR,Small,Agro
UJJIVANSFB,Small,Banking
UNIINFO,Small,IT
UNITDSPR,Small,Finance
UNIVABIS,Small,Pharma
USHAMART,Small,Industrials
UTIAMC,Small,Finance
V2RETAIL,Small,Consumer
VAIBHAVGBL,Small,Consumer
VARUN,Small,FMCG
VARUNKOOL,Small,Consumer
VBESHWAR,Small,Energy
VCOVAX,Small,Healthcare
VGUARD,Small,Consumer
VINATIORGA,Small,Chemicals
VIPIND,Small,Consumer
VISAKAIND,Small,Consumer
VISHNU,Small,Chemicals
VISHNUPUR,Small,Agro
VMART,Small,Consumer
VRLLOG,Small,Industrials
VSTML,Small,IT
VSTIND,Small,FMCG
WABAG,Small,Industrials
WALCHANNAG,Small,Industrials
WEBELSOLAR,Small,Energy
WELCORP,Small,Metals
WELENT,Small,Industrials
WELSPUNLIV,Small,Textiles
WIPL,Small,Finance
WONDERLA,Small,Consumer
WSTCSTPAPR,Small,Consumer
YES,Small,Banking
YESBANK,Small,Banking
ZAGGLE,Small,Finance
ZEEL,Small,Media
ZENTEC,Small,IT
ZENSARTECH,Small,IT
ZENOTECH,Small,Pharma
ZODIACLOTH,Small,Textiles
ZUARI,Small,Agro
